name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_add/real_time/threads:1",1000000000,0.436624,0.1875,ns,,,,,
"BM_add/real_time/threads:2",2000000000,0.221965,0.171875,ns,,,,,
"BM_add/real_time/threads:4",4000000000,0.100855,0.355469,ns,,,,,
"BM_add/real_time/threads:8",8000000000,0.0672978,0.414062,ns,,,,,
"BM_add/real_time/threads:16",15234654480,0.0446726,0.516914,ns,,,,,
"BM_add/real_time/threads:32",30299918880,0.0302819,0.519288,ns,,,,,
"BM_add/real_time/threads:64",35483446784,0.0260194,0.516526,ns,,,,,
"BM_atomic_add/real_time/threads:1",107659016,7.6971,3.77349,ns,,,,,
"BM_atomic_add/real_time/threads:2",25971954,27.109,30.6821,ns,,,,,
"BM_atomic_add/real_time/threads:4",33911432,25.044,80.1721,ns,,,,,
"BM_atomic_add/real_time/threads:8",43722552,22.6628,143.304,ns,,,,,
"BM_atomic_add/real_time/threads:16",42962432,23.5309,346.96,ns,,,,,
"BM_atomic_add/real_time/threads:32",32000000,19.9228,335.938,ns,,,,,
"BM_atomic_add/real_time/threads:64",75366656,19.7402,379.395,ns,,,,,
"BM_mutex_add/real_time/threads:1",31953767,21.4838,14.6696,ns,,,,,
"BM_mutex_add/real_time/threads:2",22427128,27.6148,36.9251,ns,,,,,
"BM_mutex_add/real_time/threads:4",24491392,39.0614,82.9373,ns,,,,,
"BM_mutex_add/real_time/threads:8",8000000,73.351,232.422,ns,,,,,
"BM_mutex_add/real_time/threads:16",7884208,196.259,2322.68,ns,,,,,
"BM_mutex_add/real_time/threads:32",3200000,163.188,2817.38,ns,,,,,
"BM_mutex_add/real_time/threads:64",6002240,167.341,3261.8,ns,,,,,
"BM_tas_spin_lock_add/real_time/threads:1",65320626,9.94365,7.17614,ns,,,,,
"BM_tas_spin_lock_add/real_time/threads:2",12269422,73.5693,92.9649,ns,,,,,
"BM_tas_spin_lock_add/real_time/threads:4",4257228,159.658,499.151,ns,,,,,
"BM_tas_spin_lock_add/real_time/threads:8",1447968,558.475,3701.31,ns,,,,,
"BM_tas_spin_lock_add/real_time/threads:16",1616368,768.042,10768.7,ns,,,,,
"BM_tas_spin_lock_add/real_time/threads:32",1247328,1642.97,29024.5,ns,,,,,
"BM_tas_spin_lock_add/real_time/threads:64",640000,911.752,22143.6,ns,,,,,
"BM_ttas_spin_lock_add/real_time/threads:1",71936310,9.71862,8.03662,ns,,,,,
"BM_ttas_spin_lock_add/real_time/threads:2",12712850,73.7072,104.471,ns,,,,,
"BM_ttas_spin_lock_add/real_time/threads:4",3389720,162.726,557.753,ns,,,,,
"BM_ttas_spin_lock_add/real_time/threads:8",3524568,248.613,1711.2,ns,,,,,
"BM_ttas_spin_lock_add/real_time/threads:16",1600000,487.512,6074.22,ns,,,,,
"BM_ttas_spin_lock_add/real_time/threads:32",1072256,633.75,11031.1,ns,,,,,
"BM_ttas_spin_lock_add/real_time/threads:64",640000,890.303,20117.2,ns,,,,,
"BM_ces_spin_lock_add/real_time/threads:1",64969719,10.0577,6.9744,ns,,,,,
"BM_ces_spin_lock_add/real_time/threads:2",12405876,74.837,84.3854,ns,,,,,
"BM_ces_spin_lock_add/real_time/threads:4",3361760,160.203,492.673,ns,,,,,
"BM_ces_spin_lock_add/real_time/threads:8",1503928,521.051,3584.36,ns,,,,,
"BM_ces_spin_lock_add/real_time/threads:16",1600000,717.451,9638.67,ns,,,,,
"BM_ces_spin_lock_add/real_time/threads:32",686240,956.114,19217,ns,,,,,
"BM_ces_spin_lock_add/real_time/threads:64",640000,1158.03,26269.5,ns,,,,,
