name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_queue_simplest/4",1120,0.541618,0.530134,ms,,,,,
"BM_queue_simplest/12",259,2.1742,2.11149,ms,,,,,
"BM_queue_simplest/20",10,66.046,57.8125,ms,,,,,
"BM_queue_simplest/28",4,386.297,281.25,ms,,,,,
"BM_queue_simplest/36",1,1280.4,765.625,ms,,,,,
"BM_queue_simplest/44",1,1402.77,703.125,ms,,,,,
"BM_queue_simplest/52",1,1784.8,640.625,ms,,,,,
"BM_queue_simplest/60",6,650.137,96.3542,ms,,,,,
"BM_queue_erez_strauss/4",1000,0.622424,0.5625,ms,,,,,
"BM_queue_erez_strauss/12",112,8.94754,6.2779,ms,,,,,
"BM_queue_erez_strauss/20",56,41.1047,19.2522,ms,,,,,
"BM_queue_erez_strauss/28",17,99.6359,42.2794,ms,,,,,
"BM_queue_erez_strauss/36",14,180.798,50.2232,ms,,,,,
"BM_queue_erez_strauss/44",9,330.032,78.125,ms,,,,,
"BM_queue_erez_strauss/52",1,2430.22,828.125,ms,,,,,
"BM_queue_erez_strauss/60",1,3583.94,1359.38,ms,,,,,
