name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_getArea_OOP/256",1120000,0.634708,0.641741,us,,,,,
"BM_getArea_OOP/1024",280000,2.59072,2.62277,us,,,,,
"BM_getArea_OOP/4096",74667,10.4009,10.4631,us,,,,,
"BM_getArea_OOP/16384",16593,41.7512,42.3748,us,,,,,
"BM_getArea_OOP/65536",4073,168.417,168.795,us,,,,,
"BM_getArea_OOP/262144",896,668.178,662.667,us,,,,,
"BM_getArea_OOP/1048576",179,3746.04,3753.49,us,,,,,
"BM_getArea_OOP/4194304",37,18154.3,18158.8,us,,,,,
"BM_getArea_OOP/16777216",7,74872.6,75892.9,us,,,,,
"BM_getArea_OOP_BigO",,0.18646,0.188865,NlgN,,,,,
"BM_getArea_OOP_RMS",,0.0309498,0.024595,,,,,,
"BM_getArea_SwitchStruct/256",3446154,0.1959,0.199498,us,,,,,
"BM_getArea_SwitchStruct/1024",896000,0.767603,0.767299,us,,,,,
"BM_getArea_SwitchStruct/4096",235789,3.06102,3.04828,us,,,,,
"BM_getArea_SwitchStruct/16384",64000,12.2641,12.207,us,,,,,
"BM_getArea_SwitchStruct/65536",11200,70.9551,69.7545,us,,,,,
"BM_getArea_SwitchStruct/262144",2133,326.794,329.641,us,,,,,
"BM_getArea_SwitchStruct/1048576",560,1421.35,1422.99,us,,,,,
"BM_getArea_SwitchStruct/4194304",154,4490.23,4565.75,us,,,,,
"BM_getArea_SwitchStruct/16777216",37,18214.8,18158.8,us,,,,,
"BM_getArea_SwitchStruct_BigO",,1.08582,1.08376,N,,,,,
"BM_getArea_SwitchStruct_RMS",,0.0358254,0.0356512,,,,,,
"BM_getArea_CoeffArray/256",4480000,0.147777,0.149972,us,,,,,
"BM_getArea_CoeffArray/1024",1120000,0.645745,0.641741,us,,,,,
"BM_getArea_CoeffArray/4096",280000,2.62621,2.62277,us,,,,,
"BM_getArea_CoeffArray/16384",64000,10.5447,10.498,us,,,,,
"BM_getArea_CoeffArray/65536",16593,41.7387,41.4331,us,,,,,
"BM_getArea_CoeffArray/262144",4073,172.473,172.631,us,,,,,
"BM_getArea_CoeffArray/1048576",1120,680.766,683.594,us,,,,,
"BM_getArea_CoeffArray/4194304",224,2901.56,2929.69,us,,,,,
"BM_getArea_CoeffArray/16777216",56,11826.9,11718.8,us,,,,,
"BM_getArea_CoeffArray_BigO",,0.703953,0.698311,N,,,,,
"BM_getArea_CoeffArray_RMS",,0.0152719,0.00964766,,,,,,
"BM_getArea_SSE/256",18666667,0.0378026,0.0376674,us,,,,,
"BM_getArea_SSE/1024",4480000,0.16072,0.160435,us,,,,,
"BM_getArea_SSE/4096",1120000,0.64711,0.655692,us,,,,,
"BM_getArea_SSE/16384",263529,2.59664,2.60882,us,,,,,
"BM_getArea_SSE/65536",74667,10.5567,10.4631,us,,,,,
"BM_getArea_SSE/262144",16593,41.7555,42.3748,us,,,,,
"BM_getArea_SSE/1048576",4073,166.108,168.795,us,,,,,
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335658.000000 ErrorPercentage: 0.100075 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335658.000000 ErrorPercentage: 0.100075 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335658.000000 ErrorPercentage: 0.100075 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335658.000000 ErrorPercentage: 0.100075 
"BM_getArea_SSE/4194304",640,1149.52,1147.46,us,,,,,
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37298220.000000 ErrorPercentage: 2.493779 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37298220.000000 ErrorPercentage: 2.493779 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37298220.000000 ErrorPercentage: 2.493779 
"BM_getArea_SSE/16777216",112,6388.29,6417.41,us,,,,,
"BM_getArea_SSE_BigO",,0.0156745,0.0157423,NlgN,,,,,
"BM_getArea_SSE_RMS",,0.134786,0.13692,,,,,,
"BM_getArea_AVX/256",32000000,0.0229124,0.0229492,us,,,,,
"BM_getArea_AVX/1024",7466667,0.0860858,0.085798,us,,,,,
"BM_getArea_AVX/4096",2133333,0.330328,0.32959,us,,,,,
"BM_getArea_AVX/16384",497778,1.32435,1.31836,us,,,,,
"BM_getArea_AVX/65536",112000,5.89794,5.99888,us,,,,,
"BM_getArea_AVX/262144",28000,23.7696,23.9955,us,,,,,
"BM_getArea_AVX/1048576",7467,94.8315,94.1643,us,,,,,
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335151.000000 ErrorPercentage: 0.105500 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335151.000000 ErrorPercentage: 0.105500 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335151.000000 ErrorPercentage: 0.105500 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335151.000000 ErrorPercentage: 0.105500 
"BM_getArea_AVX/4194304",747,955.868,962.182,us,,,,,
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332588.000000 ErrorPercentage: 2.588221 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332588.000000 ErrorPercentage: 2.588221 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37332588.000000 ErrorPercentage: 2.588221 
"BM_getArea_AVX/16777216",112,5976.24,5859.38,us,,,,,
"BM_getArea_AVX_BigO",,0.0145912,0.0143195,NlgN,,,,,
"BM_getArea_AVX_RMS",,0.194512,0.184328,,,,,,
"BM_getArea_OOP_PPL/256",89600,7.68201,7.67299,us,,,,,
"BM_getArea_OOP_PPL/1024",74667,10.0613,10.0446,us,,,,,
"BM_getArea_OOP_PPL/4096",49778,14.6631,14.753,us,,,,,
"BM_getArea_OOP_PPL/16384",29867,22.2978,22.4956,us,,,,,
"BM_getArea_OOP_PPL/65536",22400,31.7128,31.3895,us,,,,,
"BM_getArea_OOP_PPL/262144",11200,59.7881,59.9888,us,,,,,
"BM_getArea_OOP_PPL/1048576",1723,507.706,389.945,us,,,,,
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335076.000000 ErrorPercentage: 0.106303 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335076.000000 ErrorPercentage: 0.106303 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335076.000000 ErrorPercentage: 0.106303 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335076.000000 ErrorPercentage: 0.106303 
"BM_getArea_OOP_PPL/4194304",172,4596.64,3997.09,us,,,,,
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37331644.000000 ErrorPercentage: 2.585627 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37331644.000000 ErrorPercentage: 2.585627 
Invalid sum [16777216]. Expected: 36390716.000000 Given: 37331644.000000 ErrorPercentage: 2.585627 
"BM_getArea_OOP_PPL/16777216",34,21101.9,19301.5,us,,,,,
"BM_getArea_OOP_PPL_BigO",,0.0522003,0.0476258,NlgN,,,,,
"BM_getArea_OOP_PPL_RMS",,0.0751434,0.0952129,,,,,,
"BM_getArea_AVX_Threads/256",1445,1346.21,475.779,us,,,,,
"BM_getArea_AVX_Threads/1024",1120,1345.37,544.085,us,,,,,
"BM_getArea_AVX_Threads/4096",1867,1344.9,594.202,us,,,,,
"BM_getArea_AVX_Threads/16384",1384,1334.21,575.777,us,,,,,
"BM_getArea_AVX_Threads/65536",1000,1357.96,656.25,us,,,,,
"BM_getArea_AVX_Threads/262144",1000,1380.78,546.875,us,,,,,
"BM_getArea_AVX_Threads/1048576",1000,1346.19,531.25,us,,,,,
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335082.000000 ErrorPercentage: 0.106239 
Invalid sum [4194304]. Expected: 9345010.000000 Given: 9335082.000000 ErrorPercentage: 0.106239 
